"EMPLOYEEID","NAME_FIRST","NAME_MIDDLE","NAME_LAST","NAME_INITIALS","SEX","LANGUAGE","PHONENUMBER","EMAILADDRESS","LOGINNAME","MANAGERID","ADDRESSID","COSTCENTER","COMPANYCODE","VALIDITY_STARTDATE","VALIDITY_ENDDATE","EMPLOYEESALESTYPE"
"0000000001",Derrick,L,Magill,"",M,E,"630-374-0306",derrick.magill@itelo.info,derrickm,"0000000002","1000000001",C01002,"9003",2000-01-01,9999-12-31,"0"
"0000000002",Philipp,T,Egger,"",M,E,"09603 61 24 64",philipp.egger@itelo.info,philippm,"","1000000002",C01001,"9001",2000-01-01,9999-12-31,"0"
"0000000003",Ellis,K,Robertson,"",M,E,"070 8691 2288",ellis.robertson@itelo.info,ellism,"0000000008","1000000003",C01003,"9002",2000-01-01,9999-12-31,"1"
"0000000004",William,M,Mussen,"",M,E,"026734 4556",william.mussen@itelo.info,williamm,"0000000005","1000000004",C01003,"9004",2000-01-01,9999-12-31,"1"
"0000000005",Javas,"",Hegde,"",M,E,"2224135120",javas.hegde@itelo.info,javasm,"0000000002","1000000005",C01002,"9004",2000-01-01,9999-12-31,"0"
"0000000006",Haseena al,"",Yousuf,"",F,E,"2288340",alhaseena.yousuf@itelo.info,haseena alf,"0000000003","1000000006",C01004,"9002",2000-01-01,9999-12-31,"1"
"0000000007",Roberta,M,Holloway,"",F,E,"306-598-7404",roberta.holloway@itelo.info,robertaf,"0000000001","1000000007",C01003,"9003",2000-01-01,9999-12-31,"1"
"0000000008",Pénélope,G,Duperré,"",F,E,"03.23.46.10404",penelope.duperre@itelo.info,penelopef,"0000000002","1000000008",C01002,"9002",2000-01-01,9999-12-31,"0"
"0000000009",Kirk,J,Lee,"",M,E,"805-756-6064",kirk.lee@itelo.info,kirkm,"0000000001","1000000009",C01003,"9003",2000-01-01,9999-12-31,"1"
"0000000010",Janet,R,Gray,"",F,E,"201-849-2465",janet.gray@itelo.info,janetf,"0000000001","1000000010",C01003,"9003",2000-01-01,9999-12-31,"1"
"0000000011",Nelson,J,Wilkens,"",M,E,"916-223-7055",nelson.wilkens@itelo.info,nelsonm,"0000000001","1000000011",C01003,"9003",2000-01-01,9999-12-31,"1"
"0000000012",Willard,R,Chatman,"",M,E,"416-794-6633",willard.chatman@itelo.info,willardm,"0000000001","1000000012",C01003,"9003",2000-01-01,9999-12-31,"1"
"0000000013",Carroll,S,Pewitt,"",M,E,"780-682-9921",carroll.pewitt@itelo.info,carrollm,"0000000001","1000000013",C01003,"9003",2000-01-01,9999-12-31,"1"
"0000000014",Kenneth,H,Weise,"",M,E,"416-609-5608",kenneth.weise@itelo.info,kennethm,"0000000001","1000000014",C01003,"9003",2000-01-01,9999-12-31,"1"
"0000000015",Frank,S,Gottschalk,"",M,E,"0699 204 28 33",frank.gottschalk@itelo.info,frankg,"0000000006","1000000015",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000016",Hobie,M,van der Woerd,"",M,E,"0499 51 73 53",hobie.vanderwoerd@itelo.info,hobiew,"0000000006","1000000016",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000017",Lada ,G,Svobodová,"",F,E,"383 220 834",lada.svobodová@itelo.info,ladas,"0000000006","1000000017",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000018",Oscar,C,Lind,"",M,E,"60-94-92-95",oscar.lind@itelo.info,oscarl,"0000000006","1000000018",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000019",Riitta ,K,Johanson,"",F,E,"041 342 9035",riitta.johanson@itelo.info,riittaj,"0000000006","1000000019",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000020",Ludvig,D,Kristensen,"",M,E,"66 33 70",ludvig.kristensen@itelo.info,ludvigk,"0000000003","1000000020",C01004,"9002",2000-01-01,9999-12-31,"1"
"0000000021",Sári ,M,Aranka,"",F,E,"83763-430",sári.aranka@itelo.info,saria,"0000000020","1000000021",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000022",Aurelio,R,Russo,"",M,E,"0320 5949016",aurelio.russo@itelo.info,aurelior,"0000000020","1000000022",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000023",Fardou ,P,van Gennip,"",M,E,"06-67330561",fardou.van gennip@itelo.info,fardoug,"0000000020","1000000023",C01005,"9002",2000-01-01,9999-12-31,"1"
"0000000024",Eden ,F,Krajcik,"",F,E,"65 6693 7630",eden.krajcik@itelo.info,edenk,"0000000004","1000000024",C01004,"9004",2000-01-01,9999-12-31,"1"
"0000000025",Charu,U,Kasthuriraani,"",F,E,"6018-872 7530",charu.kasthuriraani@itelo.info,charuk,"0000000004","1000000025",C01004,"9004",2000-01-01,9999-12-31,"1"
"0000000026",Van ,A,Schultz,"",M,E,"66 3524 7031",van.schultz@itelo.info,vans,"0000000004","1000000026",C01004,"9004",2000-01-01,9999-12-31,"1"
"0000000027",Tira,V,Melani ,"",M,E,"842 530 689",tira.melani @itelo.info,tiram,"0000000004","1000000027",C01004,"9004",2000-01-01,9999-12-31,"1"
